#TYPE System.Management.Automation.PSCustomObject
"Name","Group"
"jcorbett2","UK-SG AAD GBL - Office 365 Multi Geo"
"jcorbett2","UK-DL O365 Users"
"jcorbett2","UK-DL C grades"
"jcorbett2","UK-DL Source Comms B-E"
"jcorbett2","UK-DL Source Comms"
"jcorbett2","UK-DL CR Newsletter London"
"jcorbett2","UK-DL S&D AMS Ops Team"
"jcorbett2","UK-DL Transformation Professional Community (employees)"
"jcorbett2","UK-SG SCCM Visio 2013 Std Removal Users"
"jcorbett2","UK-DL S&D Performance Managers"
"jcorbett2","UK-SG OneDrive Users"
"jcorbett2","UK-DL S&D Grade C"
"jcorbett2","UK-DL All C Grades"
"jcorbett2","UK-DL Source E-B Grades"
"jcorbett2","UK-DL S&D App Maintenance & Support"
"jcorbett2","UK-DL S&D London All"
"jcorbett2","GO-SG Alex User"
"jcorbett2","UK-SG MobileIron Test Group"
"jcorbett2","UK-SG AAD GBL - Office 365 Enterprise E3 - SPO"
"jcorbett2","UK-DL Client facing C grades"
"jcorbett2","UK-SG Intune Exchange Online Outlook Users"
"jcorbett2","UK-SG Intune Mobile Users"
"jcorbett2","UK-DL ADM Offshore"
"jcorbett2","UK-DL TechS Service Delivery"
"jcorbett2","UK-SG AAD GBL - Enterprise Mobility Security E3"
"jcorbett2","UK-SG AAD GBL - Office 365 Enterprise E3"
"jcorbett2","UK-SG Privileged Tax Role Intelledox Manage UAT"
"jcorbett2","UK-SG Privileged Tax Role Intelledox Manage"
"jcorbett2","UK-DL Digital & Mobile Solutions Project Reporting"
"jcorbett2","UK-DL LexisNexis Newsdesk Mobile App Pilot Group"
"jcorbett2","UK-DL 2016 Bonus - A-C colleagues"
"jcorbett2","UK DL Canada Square EU Referendum Debate"
"jcorbett2","UK-DL Source UK Access"
"jcorbett2","UK-DL Central Services 2016"
"jcorbett2","UK-DL Finding_People_Survey"
"jcorbett2","UK-DL Global Team London 2nd Floor"
"jcorbett2","GO-SG MC Delivery Backbone Users ARIS"
"jcorbett2","GO-SG MC Delivery Backbone Users EMA"
"jcorbett2","GO-SG Global Benchmarking Plus light house"
"jcorbett2","GO-SG Delivery Backbone Users"
"jcorbett2","UK-SG SCCM NavigoFontFix"
"jcorbett2","UK-SG Global Delivery Backbone Users"
"jcorbett2","UK-DL Peer 2 Peer"
"jcorbett2","UK-SG SCCM Project 2013"
"jcorbett2","UK-SG SCCM Microsoft Visio Standard 2013"
"jcorbett2","UK-SG Blackfriars Audit Users"
"jcorbett2","UK-SG MobileIron ITSNet WiFi Users"
"jcorbett2","UK-DL MobileIron Users"
"jcorbett2","UK-SG TibbrUser"
"jcorbett2","UK-SG Share_Drives_Read_Write_Access"
"jcorbett2","UK-DL ALL UK Staff"
"jcorbett2","UK-SG Certificate Based SSLVPN Authentication"
"jcorbett2","UK-SG MobileIron Users"
"jcorbett2","UK-SG FACSHARED_ADMIN_Concept Work Station ID"
"jcorbett2","UK-DL 15CSQ Office All"
"jcorbett2","UK-SG FAC UK STAFF ALL"
"jcorbett2","UK-DL TTG All"
"jcorbett2","UK-SG FACSHARED_ADMIN_CONTINUITY"
"jcorbett2","UK-SG ADMIN_TECHNOLOGY"
"jcorbett2","UK-SG ADMIN_085_OPERATION BROWSER"
"jcorbett2","UK-SG ADMIN_843_FAS GLOBAL"
"jcorbett2","UK-SG CIM_ADMIN_PLIMSOLL"
"jcorbett2","uk-sg"
"jcorbett2","UK-SG KPMG Users"
"jcorbett2","UK-SG KM Users"
"jcorbett2","UK-SG FACILITIES"
"jcorbett2","UK-SG Facilities_Admin"
"jcorbett2","UK-SG FACILITIES_PROJECTS_WEB_EDIT"
"jcorbett2","UK-SG FACILITIES_PROJECTS_WEB_"
"jcorbett2","UK-SG BLF_FAC_ALL"
"jcorbett2","UK-SG 521"
"jcorbett2","UK-SG ADMIN_FAC_ASSET"
"jcorbett2","UK-SG ADMIN_FACSHARED"
"jcorbett2","UK-SG Facilities_Facilities"
"jcorbett2","uk-sg lee_fac_documents_RW"
"jcorbett2","UK-SG Assembly1_filesystem_ReadWrite"
"jcorbett2","UK-SG FACILITIES_PROJECTS_SPACE"
"jcorbett2","UK-SG CIM_SSQ_ALL"
"jcorbett2","UK-SG FACILITIES_PROJECTS_PSTRAT"
"jcorbett2","UK-SG FACILITIES_PROJECTS_BUDGETS"
"jcorbett2","UK-SG FACILITIES_PROJECTS_TH2000"
"jcorbett2","UK-SG TAX_PUD_ALL"
"jcorbett2","UK-SG DL Senders (Offices)"
"jcorbett2","UK-SG FACILITIES_PROJECTS_MAINTENANCE_RO"
"jcorbett2","UK-SG ADMIN_FAC FIN PUB DOC"
"jcorbett2","UK-SG ADMIN_FAC_ASSET_DOC_FULL"
"jcorbett2","UK-SG FS_MAP"
"jcorbett2","UK-DL Project & Programme Management Affinity Group"
"jcorbett2","UK-SG 637_ALL"
"jcorbett2","UK-SG ADMIN_833_PIPELINE TOOLS"
"jcorbett2","UK-SG BLF_FAC_ADMIN_PROJECTS"
"jcorbett2","UK-SG DL Senders (Functional)"
"jcorbett2","UK-SG ADMIN_CIM TARGETING"
"jcorbett2","UK-SG 843"
"jcorbett2","UK-SG SMS Peoplesoft"
"jcorbett2","UK-SG LEE_FAC_ALL"
"jcorbett2","UK-SG CLIENT_NON_STARS_TRANS"
"jcorbett2","UK-SG CWH_FS_SPLIT_TEST"
"jcorbett2","UK-SG CWH_FS_ALL"
"tnaushad","UK-SG AAD EXO Journaling"
"tnaushad","UK-DL Mobile Device Upgrade 3"
"tnaushad","UK-DL S&D Infrastructure"
"tnaushad","UK-SG SCCM WorkSite Macro Update Users"
"tnaushad","UK-DL AAG Members"
"tnaushad","GO-SG MC Delivery Backbone Users Regional EMA"
"tnaushad","UK-SG AAD GBL - Office 365 Multi Geo"
"tnaushad","UK-SG Alphatax App Development"
"tnaushad","UK-DL O365 Users"
